Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	microtubule nucleation (GO:0007020)	5/20	9.465197816020471e-06	0.0158731367374663	0	0	22.242937853107343	257.30383331121504	TUBGCP2;TUBGCP6;SLAIN2;TUBGCP3;TUBG2
GO_Biological_Process_2021	negative regulation of ERBB signaling pathway (GO:1901185)	6/40	2.7075245355845383e-05	0.0227025932308763	0	0	11.804321728691477	124.14476144413534	PTPN18;SH3KBP1;MVP;ERBB2;TGFA;AREG
GO_Biological_Process_2021	microtubule polymerization (GO:0046785)	5/30	7.693805474438095e-05	0.0430083726021089	0	0	13.33898305084746	126.35364958827284	TUBGCP2;TUBGCP6;SLAIN2;TUBGCP3;TUBG2
GO_Biological_Process_2021	protein import into peroxisome membrane (GO:0045046)	4/22	0.0002932363546497273	0.1202080239040145	0	0	14.776276276276276	120.1980863436154	ALDH3A2;PEX19;PEX3;PEX2
GO_Biological_Process_2021	negative regulation of protein autophosphorylation (GO:0031953)	3/10	0.00037082698187105087	0.1202080239040145	0	0	28.417027417027416	224.4881216345497	IMPACT;CAV1;MVP
GO_Biological_Process_2021	peroxisome organization (GO:0007031)	4/25	0.0004894562192632021	0.1202080239040145	0	0	12.663449163449163	96.5235389998575	PEX19;PEX3;PEX2;DNM1L
GO_Biological_Process_2021	regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	6/67	0.000501762771215326	0.1202080239040145	0	0	6.570424891267983	49.91803514219556	HIP1;SH3KBP1;MVP;PLAUR;TGFA;AREG
GO_Biological_Process_2021	peroxisomal membrane transport (GO:0015919)	4/27	0.0006632228331350823	0.1390280863959416	0	0	11.561104582843711	84.60878229916395	ALDH3A2;PEX19;PEX3;PEX2
GO_Biological_Process_2021	protein targeting to peroxisome (GO:0006625)	4/29	0.0008766643322368706	0.1633517872401369	0	0	10.635135135135137	74.86482546558625	ALDH3A2;PEX19;PEX3;PEX2
GO_Biological_Process_2021	positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	4/34	0.0016140314255992	0.2325856837008841	0	0	8.86036036036036	56.96343607886472	HIP1;PLAUR;TGFA;AREG
