Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Hepatitis C Homo sapiens hsa05160	4/133	0.0044793892906002	0.2122081458440064	0	0	6.385981912144703	34.53710520599195	PPP2CA;CDKN1A;PSME3;NR1H3
KEGG_2016	Spliceosome Homo sapiens hsa03040	4/134	0.0045997805345406	0.2122081458440064	0	0	6.336538461538462	34.10164486931323	HSPA8;TRA2B;RP9;HNRNPC
KEGG_2016	Antigen processing and presentation Homo sapiens hsa04612	3/77	0.0067890554235683	0.2122081458440064	0	0	8.286152131512956	41.36814601724816	HSPA8;HSP90AA1;PSME3
KEGG_2016	Hippo signaling pathway Homo sapiens hsa04390	4/153	0.0073175222704829	0.2122081458440064	0	0	5.52321029082774	27.16029544979405	SMAD2;PPP2CA;DLG1;CDH1
KEGG_2016	Thyroid cancer Homo sapiens hsa05216	2/29	0.0092030974751143	0.2135118614226531	0	0	15.02116402116402	70.4224490277819	CDH1;TPM3
KEGG_2016	Fructose and mannose metabolism Homo sapiens hsa00051	2/32	0.0111345221222248	0.2152674276963476	0	0	13.517006802721088	60.79550767481704	PFKFB2;ALDOA
KEGG_2016	Estrogen signaling pathway Homo sapiens hsa04915	3/99	0.0134550429542985	0.2229692832426609	0	0	6.380154639175258	27.48826655672556	HSPA8;HSP90AA1;FKBP5
KEGG_2016	Bladder cancer Homo sapiens hsa05219	2/41	0.0178804597481127	0.2592666663476348	0	0	10.392987964416536	41.82186992516352	CDKN1A;CDH1
KEGG_2016	N-Glycan biosynthesis Homo sapiens hsa00510	2/49	0.0249911884332231	0.3221086509170979	0	0	8.620495006513243	31.803005852102093	RPN1;ALG3
KEGG_2016	Legionellosis Homo sapiens hsa05134	2/55	0.0309556684055239	0.3590857535040779	0	0	7.642279553330766	26.55844340345009	EEF1A1;HSPA8
KEGG_2016	HTLV-I infection Homo sapiens hsa05166	4/258	0.0405921753078154	0.3841636850742588	0	0	3.222769028871391	10.32633192950078	SMAD2;FOSL1;DLG1;CDKN1A
KEGG_2016	Glycolysis / Gluconeogenesis Homo sapiens hsa00010	2/67	0.0443537761760118	0.3841636850742588	0	0	6.227629513343799	19.402537395096388	ALDOA;DLD
KEGG_2016	Pathways in cancer Homo sapiens hsa05200	5/397	0.0490712217253351	0.3841636850742588	0	0	2.61922663802363	7.895612946592628	SMAD2;HSP90AA1;CDKN1A;TPM3;CDH1
KEGG_2016	Melanoma Homo sapiens hsa05218	2/71	0.0492185490137595	0.3841636850742588	0	0	5.865424430641822	17.663636014354466	CDKN1A;CDH1
KEGG_2016	Protein processing in endoplasmic reticulum Homo sapiens hsa04141	3/169	0.0529113924234194	0.3841636850742588	0	0	3.676686125947087	10.806282780011824	HSPA8;HSP90AA1;RPN1
KEGG_2016	Adherens junction Homo sapiens hsa04520	2/74	0.0529880944930012	0.3841636850742588	0	0	5.620181405895692	16.510339602462818	SMAD2;CDH1
KEGG_2016	TGF-beta signaling pathway Homo sapiens hsa04350	2/84	0.0662504359060044	0.4141495747091069	0	0	4.9323046291687405	13.387819731164344	PPP2CA;SMAD2
KEGG_2016	Prostate cancer Homo sapiens hsa05215	2/89	0.0732536203857354	0.4141495747091069	0	0	4.647665962936899	12.148197603177868	CDKN1A;HSP90AA1
KEGG_2016	Nitrogen metabolism Homo sapiens hsa00910	1/17	0.0817146326715556	0.4141495747091069	0	0	12.553030303030305	31.43934295429433	CA2
KEGG_2016	Glycerophospholipid metabolism Homo sapiens hsa00564	2/95	0.0819552402371426	0.4141495747091069	0	0	4.346499890278692	10.873126025503971	DGKA;GPD2
KEGG_2016	Other glycan degradation Homo sapiens hsa00511	1/18	0.0863099571505927	0.4141495747091069	0	0	11.81402257872846	28.942114306609312	GBA2
KEGG_2016	PI3K-Akt signaling pathway Homo sapiens hsa04151	4/341	0.091766704098759	0.4141495747091069	0	0	2.418768545994065	5.777242574212832	PPP2CA;HSP90AA1;CDKN1A;OSMR
KEGG_2016	HIF-1 signaling pathway Homo sapiens hsa04066	2/103	0.0940199139873012	0.4141495747091069	0	0	4.000606183067286	9.458427840392073	CDKN1A;ALDOA
KEGG_2016	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532	1/20	0.0954324164624814	0.4141495747091069	0	0	10.569377990430622	24.83103038927071	CHSY1
KEGG_2016	Chagas disease (American trypanosomiasis) Homo sapiens hsa05142	2/104	0.0955625544444408	0.4141495747091069	0	0	3.961184473789516	9.300759047174036	SMAD2;PPP2CA
KEGG_2016	Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040	1/23	0.1089472978360328	0.4141495747091069	0	0	9.1267217630854	20.232947516534363	PTPLB
KEGG_2016	Proximal tubule bicarbonate reclamation Homo sapiens hsa04964	1/23	0.1089472978360328	0.4141495747091069	0	0	9.1267217630854	20.232947516534363	CA2
KEGG_2016	Carbon metabolism Homo sapiens hsa01200	2/113	0.109762052329387	0.4141495747091069	0	0	3.638352638352639	8.038723369904124	ALDOA;DLD
KEGG_2016	Fatty acid elongation Homo sapiens hsa00062	1/25	0.1178459640404217	0.4141495747091069	0	0	8.365319865319865	17.88820673407011	PTPLB
KEGG_2016	Oocyte meiosis Homo sapiens hsa04114	2/123	0.1261397529272332	0.4141495747091069	0	0	3.335975712599089	6.906686810673667	PPP2CA;FBXO5
KEGG_2016	Collecting duct acid secretion Homo sapiens hsa04966	1/27	0.1266566423028266	0.4141495747091069	0	0	7.721056721056721	15.953830010816358	CA2
KEGG_2016	AMPK signaling pathway Homo sapiens hsa04152	2/124	0.1278086254209237	0.4141495747091069	0	0	3.308464369354299	6.806243198091332	PFKFB2;PPP2CA
KEGG_2016	Cell cycle Homo sapiens hsa04110	2/124	0.1278086254209237	0.4141495747091069	0	0	3.308464369354299	6.806243198091332	SMAD2;CDKN1A
KEGG_2016	Glyoxylate and dicarboxylate metabolism Homo sapiens hsa00630	1/28	0.1310292553948657	0.4141495747091069	0	0	7.434717545828657	15.109834134055738	DLD
KEGG_2016	Pentose phosphate pathway Homo sapiens hsa00030	1/29	0.13538019382269	0.4141495747091069	0	0	7.1688311688311686	14.335283778329618	ALDOA
KEGG_2016	Circadian rhythm Homo sapiens hsa04710	1/30	0.1397095639188418	0.4141495747091069	0	0	6.921281783350749	13.622394510819325	PER3
KEGG_2016	Citrate cycle (TCA cycle) Homo sapiens hsa00020	1/30	0.1397095639188418	0.4141495747091069	0	0	6.921281783350749	13.622394510819325	DLD
KEGG_2016	Endocytosis Homo sapiens hsa04144	3/259	0.140259495231565	0.4141495747091069	0	0	2.373228092783505	4.661639469074849	SMAD2;HSPA8;WIPF1
KEGG_2016	FoxO signaling pathway Homo sapiens hsa04068	2/133	0.1430547538373086	0.4141495747091069	0	0	3.07976320299112	5.988685251990531	SMAD2;CDKN1A
KEGG_2016	Mucin type O-Glycan biosynthesis Homo sapiens hsa00512	1/31	0.1440174715013112	0.4141495747091069	0	0	6.69023569023569	12.964476920040203	GCNT1
KEGG_2016	Propanoate metabolism Homo sapiens hsa00640	1/32	0.1483040219339779	0.4141495747091069	0	0	6.474095796676441	12.355752978101908	DLD
KEGG_2016	Ribosome Homo sapiens hsa03010	2/137	0.1499507080843318	0.4141495747091069	0	0	2.9879062736205597	5.669398730173793	RPS26;RPL31
KEGG_2016	Metabolic pathways Homo sapiens hsa01100	9/1239	0.166581046828816	0.4461758324462899	0	0	1.5012061109622086	2.6905716608798125	CHSY1;DGKA;RPN1;GCNT1;GATC;ALG3;ALDOA;GBA2;DLD
KEGG_2016	Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261	2/148	0.1692391088589375	0.4461758324462899	0	0	2.761252446183953	4.905206802489739	PPP2CA;TPM3
KEGG_2016	Glycine, serine and threonine metabolism Homo sapiens hsa00260	1/40	0.1818400384456406	0.4585531404281374	0	0	5.144004144004144	8.768612919919887	DLD
KEGG_2016	Pyruvate metabolism Homo sapiens hsa00620	1/40	0.1818400384456406	0.4585531404281374	0	0	5.144004144004144	8.768612919919887	DLD
KEGG_2016	Jak-STAT signaling pathway Homo sapiens hsa04630	2/158	0.1871181588639223	0.4618235410258509	0	0	2.5829408686551543	4.329047629874819	CDKN1A;OSMR
KEGG_2016	Proteasome Homo sapiens hsa03050	1/44	0.1981144149654997	0.4685267229096576	0	0	4.664552501761804	7.551493311263548	PSME3
KEGG_2016	Sphingolipid metabolism Homo sapiens hsa00600	1/47	0.2101094941683413	0.4685267229096576	0	0	4.359683794466403	6.801658146757973	GBA2
KEGG_2016	RNA transport Homo sapiens hsa03013	2/172	0.2125577216442807	0.4685267229096576	0	0	2.3685474189675872	3.667794437782415	EEF1A1;SNORD3B-2
KEGG_2016	Valine, leucine and isoleucine degradation Homo sapiens hsa00280	1/48	0.2140682440880332	0.4685267229096576	0	0	4.266709649688373	6.576964036635908	DLD
KEGG_2016	Fatty acid metabolism Homo sapiens hsa01212	1/48	0.2140682440880332	0.4685267229096576	0	0	4.266709649688373	6.576964036635908	PTPLB
KEGG_2016	Notch signaling pathway Homo sapiens hsa04330	1/48	0.2140682440880332	0.4685267229096576	0	0	4.266709649688373	6.576964036635908	NCSTN
KEGG_2016	Transcriptional misregulation in cancer Homo sapiens hsa05202	2/180	0.2272471444291937	0.4741853086791119	0	0	2.2611786287548727	3.350427066998389	CDKN1A;EWSR1
KEGG_2016	Endometrial cancer Homo sapiens hsa05213	1/52	0.2297077768169888	0.4741853086791119	0	0	3.9312735195088138	5.782696221966044	CDH1
KEGG_2016	Pathogenic Escherichia coli infection Homo sapiens hsa05130	1/55	0.2412348616553018	0.4741853086791119	0	0	3.7123082678638233	5.278844037828421	CDH1
KEGG_2016	NOD-like receptor signaling pathway Homo sapiens hsa04621	1/57	0.2488245414130006	0.4741853086791119	0	0	3.5793650793650795	4.978922896997587	HSP90AA1
KEGG_2016	Glycerolipid metabolism Homo sapiens hsa00561	1/59	0.256339055642632	0.4741853086791119	0	0	3.4555903866248694	4.703937185372145	DGKA
KEGG_2016	Long-term depression Homo sapiens hsa04730	1/60	0.2600683562676618	0.4741853086791119	0	0	3.396849854476973	4.574913980988086	PPP2CA
KEGG_2016	Colorectal cancer Homo sapiens hsa05210	1/62	0.2674715018007107	0.4741853086791119	0	0	3.285146547441629	4.332261561529935	SMAD2
KEGG_2016	Epstein-Barr virus infection Homo sapiens hsa05169	2/202	0.2679339282131197	0.4741853086791119	0	0	2.010204081632653	2.647468657967029	HSPA8;CDKN1A
