Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	central nervous system neuron development (GO:0021954)	2/15	0.00016886178864621807	0.07902731708643	0	0	127.9551282051282	1111.473263821278	HSP90AA1;GBA2
GO_Biological_Process_2021	regulation of protein polymerization (GO:0032271)	2/35	0.0009417208306328502	0.0945285817792817	0	0	50.35606060606061	350.8710439635258	HSP90AA1;GBA2
GO_Biological_Process_2021	regulation of cell cycle G1/S phase transition (GO:1902806)	2/36	0.0009963204237941185	0.0945285817792817	0	0	48.872549019607845	337.7797704194284	CDKN1A;PSME3
GO_Biological_Process_2021	positive regulation of protein kinase activity (GO:0045860)	3/154	0.0010220641294842	0.0945285817792817	0	0	17.12323639504751	117.909425000709	PPP2CA;HSP90AA1;CDKN1A
GO_Biological_Process_2021	protein stabilization (GO:0050821)	3/179	0.001575176402687	0.0945285817792817	0	0	14.672430830039524	94.68688921476809	HSP90AA1;CDKN1A;PER3
GO_Biological_Process_2021	mitotic nuclear membrane organization (GO:0101024)	2/51	0.0019923694676587	0.0945285817792817	0	0	33.886054421768705	210.71807980633	PPP2CA;BANF1
GO_Biological_Process_2021	mitotic nuclear membrane reassembly (GO:0007084)	2/51	0.0019923694676587	0.0945285817792817	0	0	33.886054421768705	210.71807980633	PPP2CA;BANF1
GO_Biological_Process_2021	nuclear membrane reassembly (GO:0031468)	2/54	0.002230797156523	0.0945285817792817	0	0	31.92628205128205	194.92260392854524	PPP2CA;BANF1
GO_Biological_Process_2021	protein targeting to mitochondrion (GO:0006626)	2/55	0.0023131325887415	0.0945285817792817	0	0	31.32232704402516	190.09998180598296	HSP90AA1;PITRM1
GO_Biological_Process_2021	mitochondrial transport (GO:0006839)	2/56	0.0023968918556559	0.0945285817792817	0	0	30.74074074074074	185.4767935593318	HSP90AA1;PITRM1
GO_Biological_Process_2021	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	2/71	0.0038217411276861	0.0945285817792817	0	0	24.03985507246377	133.83105517080557	CDKN1A;PSME3
GO_Biological_Process_2021	cholesterol homeostasis (GO:0042632)	2/71	0.0038217411276861	0.0945285817792817	0	0	24.03985507246377	133.83105517080557	CNBP;NR1H3
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	2/72	0.00392780303035	0.0945285817792817	0	0	23.695238095238096	131.26391891912468	CNBP;NR1H3
GO_Biological_Process_2021	negative regulation of mitotic cell cycle phase transition (GO:1901991)	2/92	0.0063309980598904	0.0945285817792817	0	0	18.41111111111111	93.20251961184748	CDKN1A;PSME3
GO_Biological_Process_2021	positive regulation of anoikis (GO:2000210)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	PTRH2
GO_Biological_Process_2021	regulation of synaptic vesicle priming (GO:0010807)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	NAPA
GO_Biological_Process_2021	fructose 2,6-bisphosphate metabolic process (GO:0006003)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	PFKFB2
GO_Biological_Process_2021	glucosylceramide metabolic process (GO:0006678)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	GBA2
GO_Biological_Process_2021	negative regulation of lipid transport (GO:0032369)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	NR1H3
GO_Biological_Process_2021	carbon dioxide transport (GO:0015670)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	CA2
GO_Biological_Process_2021	regulation of circadian sleep/wake cycle (GO:0042749)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	PER3
GO_Biological_Process_2021	negative regulation of pinocytosis (GO:0048550)	1/5	0.0064836893697988	0.0945285817792817	0	0	199.7	1006.1815770136444	NR1H3
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	2/95	0.0067368641616767	0.0945285817792817	0	0	17.81451612903226	89.07544379838765	CDKN1A;PSME3
GO_Biological_Process_2021	RNA splicing (GO:0008380)	2/98	0.007154309299426	0.0945285817792817	0	0	17.255208333333332	85.24142635656123	PPP2CA;RP9
GO_Biological_Process_2021	positive regulation of cellular protein metabolic process (GO:0032270)	2/102	0.0077287605520284	0.0945285817792817	0	0	16.561666666666667	80.53618481890834	HSP90AA1;NR1H3
GO_Biological_Process_2021	glycoside metabolic process (GO:0016137)	1/6	0.007775574144635	0.0945285817792817	0	0	159.752	775.8783981291459	GBA2
GO_Biological_Process_2021	glycosyl compound catabolic process (GO:1901658)	1/6	0.007775574144635	0.0945285817792817	0	0	159.752	775.8783981291459	GBA2
GO_Biological_Process_2021	glycosylceramide catabolic process (GO:0046477)	1/6	0.007775574144635	0.0945285817792817	0	0	159.752	775.8783981291459	GBA2
GO_Biological_Process_2021	positive regulation of sterol transport (GO:0032373)	1/6	0.007775574144635	0.0945285817792817	0	0	159.752	775.8783981291459	NR1H3
GO_Biological_Process_2021	positive regulation of tau-protein kinase activity (GO:1902949)	1/6	0.007775574144635	0.0945285817792817	0	0	159.752	775.8783981291459	HSP90AA1
GO_Biological_Process_2021	positive regulation of cellular metabolic process (GO:0031325)	2/105	0.0081728773810228	0.0945285817792817	0	0	16.076860841423947	77.28041290653483	CDKN1A;NR1H3
GO_Biological_Process_2021	angiotensin-activated signaling pathway (GO:0038166)	1/7	0.0090658443341152	0.0945285817792817	0	0	133.12	626.0954814439701	CA2
GO_Biological_Process_2021	negative regulation of digestive system process (GO:0060457)	1/7	0.0090658443341152	0.0945285817792817	0	0	133.12	626.0954814439701	NR1H3
GO_Biological_Process_2021	positive regulation of cytoplasmic translation (GO:2000767)	1/7	0.0090658443341152	0.0945285817792817	0	0	133.12	626.0954814439701	CNBP
GO_Biological_Process_2021	negative regulation of interferon-gamma-mediated signaling pathway (GO:0060336)	1/7	0.0090658443341152	0.0945285817792817	0	0	133.12	626.0954814439701	NR1H3
GO_Biological_Process_2021	response to lead ion (GO:0010288)	1/7	0.0090658443341152	0.0945285817792817	0	0	133.12	626.0954814439701	PPP2CA
GO_Biological_Process_2021	negative regulation of response to interferon-gamma (GO:0060331)	1/7	0.0090658443341152	0.0945285817792817	0	0	133.12	626.0954814439701	NR1H3
GO_Biological_Process_2021	regulation of microtubule binding (GO:1904526)	1/7	0.0090658443341152	0.0945285817792817	0	0	133.12	626.0954814439701	PPP2CA
GO_Biological_Process_2021	regulation of protein serine/threonine kinase activity (GO:0071900)	2/111	0.0090948740601186	0.0945285817792817	0	0	15.187308868501528	71.38102469636651	PPP2CA;CDKN1A
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	2/113	0.0094121151543881	0.0945285817792817	0	0	14.91216216216216	69.57653354304188	PPP2CA;RPL31
GO_Biological_Process_2021	regulation of protein-containing complex assembly (GO:0043254)	2/116	0.0098971778568836	0.0945285817792817	0	0	14.517543859649123	67.00580538084053	NAPA;HSP90AA1
GO_Biological_Process_2021	sphingolipid metabolic process (GO:0006665)	2/116	0.0098971778568836	0.0945285817792817	0	0	14.517543859649123	67.00580538084053	PPP2CA;GBA2
GO_Biological_Process_2021	regulation of protein binding (GO:0043393)	2/118	0.0102266497057341	0.0945285817792817	0	0	14.26580459770115	65.37673370805467	PPP2CA;CDKN1A
GO_Biological_Process_2021	regulation of anion transport (GO:0044070)	1/8	0.0103545017362565	0.0945285817792817	0	0	114.09714285714286	521.4620402892078	CA2
GO_Biological_Process_2021	glycoside catabolic process (GO:0016139)	1/8	0.0103545017362565	0.0945285817792817	0	0	114.09714285714286	521.4620402892078	GBA2
GO_Biological_Process_2021	positive regulation of lipoprotein lipase activity (GO:0051006)	1/8	0.0103545017362565	0.0945285817792817	0	0	114.09714285714286	521.4620402892078	NR1H3
GO_Biological_Process_2021	cellular response to angiotensin (GO:1904385)	1/8	0.0103545017362565	0.0945285817792817	0	0	114.09714285714286	521.4620402892078	CA2
GO_Biological_Process_2021	cellular response to UV-B (GO:0071493)	1/8	0.0103545017362565	0.0945285817792817	0	0	114.09714285714286	521.4620402892078	CDKN1A
GO_Biological_Process_2021	stress-induced premature senescence (GO:0090400)	1/8	0.0103545017362565	0.0945285817792817	0	0	114.09714285714286	521.4620402892078	CDKN1A
GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	2/125	0.011417809805945	0.0945285817792817	0	0	13.44918699186992	60.15257657748506	PPP2CA;CDKN1A
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	2/126	0.0115927598751306	0.0945285817792817	0	0	13.34005376344086	59.461615799652336	PPP2CA;CDKN1A
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	2/126	0.0115927598751306	0.0945285817792817	0	0	13.34005376344086	59.461615799652336	PPP2CA;CDKN1A
GO_Biological_Process_2021	negative regulation of lipid localization (GO:1905953)	1/9	0.0116415481869311	0.0945285817792817	0	0	99.83	444.5604442545611	NR1H3
GO_Biological_Process_2021	regulation of lipid transport (GO:0032368)	1/9	0.0116415481869311	0.0945285817792817	0	0	99.83	444.5604442545611	NR1H3
GO_Biological_Process_2021	one-carbon compound transport (GO:0019755)	1/9	0.0116415481869311	0.0945285817792817	0	0	99.83	444.5604442545611	CA2
GO_Biological_Process_2021	positive regulation of triglyceride lipase activity (GO:0061365)	1/9	0.0116415481869311	0.0945285817792817	0	0	99.83	444.5604442545611	NR1H3
GO_Biological_Process_2021	regulation of pinocytosis (GO:0048548)	1/9	0.0116415481869311	0.0945285817792817	0	0	99.83	444.5604442545611	NR1H3
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	2/130	0.0123043953370753	0.0945285817792817	0	0	12.920572916666666	56.82207924077535	HSP90AA1;CDKN1A
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	2/131	0.012485247380843	0.0945285817792817	0	0	12.819767441860463	56.191701327620784	HSP90AA1;CDKN1A
GO_Biological_Process_2021	negative regulation of cholesterol storage (GO:0010887)	1/10	0.0129269855424658	0.0945285817792817	0	0	88.73333333333333	385.85142072369416	NR1H3
GO_Biological_Process_2021	regulation of tau-protein kinase activity (GO:1902947)	1/10	0.0129269855424658	0.0945285817792817	0	0	88.73333333333333	385.85142072369416	HSP90AA1
GO_Biological_Process_2021	lipid phosphorylation (GO:0046834)	1/10	0.0129269855424658	0.0945285817792817	0	0	88.73333333333333	385.85142072369416	DGKA
GO_Biological_Process_2021	negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	1/10	0.0129269855424658	0.0945285817792817	0	0	88.73333333333333	385.85142072369416	PPP2CA
GO_Biological_Process_2021	positive regulation of toll-like receptor 4 signaling pathway (GO:0034145)	1/10	0.0129269855424658	0.0945285817792817	0	0	88.73333333333333	385.85142072369416	NR1H3
